team,confederation,is_host,fifa_rank,fifa_pts,elo_2025,squad_value_eur,squad_size,wc_titles,wc_finals,wc_appearances,avg_player_age,star_player_rating,goalkeeper_rating,squad_depth_score,coach_experience_tournaments,h2h_vs_top10_winrate,knockout_stage_reach_rate,historical_score,composite_strength,recent_form_pts_avg,recent_gf_avg,recent_ga_avg,mc_group_stage_pct,mc_r16_pct,mc_quarterfinal_pct,mc_semifinal_pct,mc_final_pct,mc_win_pct,wc26_squad_size,wc26_avg_caps,wc26_total_caps,wc26_n_defender,wc26_n_forward,wc26_n_goalkeeper,wc26_n_midfielder,pelo_top5_avg,pelo_top11_avg,pelo_max,tm_avg_caps,tm_total_caps,tm_avg_intl_goals,tm_avg_market_value
Uzbekistan,AFC,0,50,1461.2081,1735.0,63750000.0,26.0,0,0,1,25.8,6.7,6.5,6.2,2,0.15,0.22,4.14,52.306,1.9,1.4,0.6,36.9,5.3,0.3,0.0,0.0,0.0,26.0,33.53846153846154,872.0,10.0,3.0,3.0,10.0,2024.14,1915.4454545454546,2298.8,27.175,1087.0,2.4,904545.4545454546
UEFA Playoff B,UEFA,0,50,1520.0,,,,0,0,3,27.5,6.9,6.9,6.7,4,0.26,0.38,9.06,58.214,,,,56.2,14.7,2.2,0.2,0.0,0.0,,,,,,,,,,,,,,
UEFA Playoff C,UEFA,0,55,1500.0,,,,0,0,3,27.5,6.8,6.8,6.6,3,0.24,0.36,8.82,56.673,,,,51.1,11.8,1.6,0.1,0.0,0.0,,,,,,,,,,,,,,
Qatar,AFC,0,55,1452.3743,1425.0,18299999.0,25.0,0,0,1,26.5,6.5,6.4,6.1,2,0.14,0.2,3.9,51.877,1.2,1.1,1.4,35.3,5.0,0.4,0.0,0.0,0.0,26.0,53.73076923076923,1397.0,9.0,9.0,3.0,5.0,2027.2,1966.5090909090911,2091.9,42.529411764705884,2169.0,5.529411764705882,1478125.0
South Africa,CAF,0,60,1428.3793,1551.0,41150002.0,23.0,0,0,2,27.0,6.7,6.6,6.3,3,0.18,0.3,6.6,54.527,1.7,1.5,1.0,43.9,8.1,0.8,0.0,0.0,0.0,26.0,17.923076923076923,466.0,11.0,8.0,3.0,4.0,1977.44,1929.5181818181823,2044.9,10.603174603174603,668.0,1.1904761904761905,1166666.6666666667
UEFA Playoff D,UEFA,0,60,1480.0,,,,0,0,3,27.5,6.7,6.7,6.5,3,0.22,0.34,8.58,55.833,,,,48.1,10.5,1.2,0.1,0.0,0.0,,,,,,,,,,,,,,
Saudi Arabia,AFC,0,61,1419.7298,1592.0,27629999.0,23.0,0,0,6,27.2,6.8,6.7,6.4,3,0.19,0.32,12.84,55.71,1.4,1.1,1.1,48.1,10.3,1.2,0.1,0.0,0.0,26.0,33.0,858.0,10.0,4.0,3.0,9.0,2247.7,2204.5181818181813,2297.1,,,,
Jordan,AFC,0,63,1390.0997,1689.0,15980000.0,26.0,0,0,1,26.2,6.5,6.3,6.0,2,0.13,0.18,3.66,51.226,2.2,1.9,0.8,33.7,4.4,0.3,0.0,0.0,0.0,26.0,40.30769230769231,1048.0,9.0,7.0,3.0,7.0,1834.8,1697.6454545454546,2173.0,21.897435897435898,854.0,2.1794871794871793,250000.0
Cape Verde,CAF,0,75,1440.0,1561.0,,,0,0,1,26.8,6.8,6.6,6.2,3,0.16,0.28,4.86,53.808,1.9,1.6,1.0,41.6,7.2,0.6,0.0,0.0,0.0,,,,,,,,2074.82,1933.9909090909093,2216.3,,,,
Intercont PO 1,TBD,0,76,1432.0,,,,0,0,2,26.5,6.3,6.2,6.0,2,0.14,0.2,5.4,51.248,,,,33.4,4.3,0.2,0.0,0.0,0.0,,,,,,,,,,,,,,
Haiti,CONCACAF,0,81,1296.6145,1542.0,,,0,0,1,26.3,6.1,6.0,5.7,2,0.11,0.14,3.18,48.716,1.2,1.2,1.5,25.8,2.5,0.1,0.0,0.0,0.0,26.0,22.53846153846154,586.0,8.0,9.0,3.0,6.0,1933.7600000000002,1855.9272727272728,2011.5,,,,
New Zealand,OFC,0,85,1276.6643,1585.0,22200001.0,23.0,0,0,3,27.5,6.2,6.1,5.8,2,0.12,0.2,6.9,50.754,1.8,3.3,1.0,31.8,3.8,0.3,0.0,0.0,0.0,26.0,30.53846153846154,794.0,9.0,4.0,3.0,10.0,2005.3200000000002,1902.5818181818183,2165.5,23.0,253.0,2.0,1720000.0
Intercont PO 2,TBD,0,88,1410.0,,,,0,0,1,26.0,6.1,6.0,5.8,2,0.12,0.18,3.66,49.595,,,,28.5,3.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,
Curacaio,CONCACAF,0,110,1345.0,,,,0,0,1,26.0,6.0,5.9,5.6,2,0.1,0.12,2.94,47.96,,,,24.3,2.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,
